id;name;code;block;is_visible;is_deleted;created_by;created_date;last_modified_by;last_modified_date
1;cappelletti wee matter;21354;accompany;true;false;since whirlwind suddenly;2024-10-04T09:28:54;violently newsletter;2024-10-04T02:05:02
2;ack mummify;31606;athwart;false;false;regular well-made;2024-10-04T10:14:04;because;2024-10-04T03:44:32
3;soap regular whoever;16582;passionate apud wetly;false;true;alongside;2024-10-04T08:52:43;incandescence correctly trouser;2024-10-04T08:21:02
4;utterly how ordinary;25933;storyboard amid;true;true;finally;2024-10-03T22:50:30;flat integer;2024-10-04T09:30:04
5;handsome forenenst censor;27273;ecstatic;false;true;indeed bah;2024-10-04T00:15:14;because rightfully coolly;2024-10-03T22:17:20
6;hm despite;28332;department;false;false;unless oh except;2024-10-03T20:50:34;yet;2024-10-04T09:45:56
7;woot yak director;8307;dredger acknowledge;false;true;ouch tragic forgo;2024-10-04T10:36:42;courageously;2024-10-04T10:02:01
8;dearest lamp yahoo;8633;hassle ah;false;false;hmph;2024-10-04T00:09:19;or pish pale;2024-10-04T09:14:27
9;suddenly swiftly reorient;29915;egg;true;false;magnetize;2024-10-04T07:22:54;clearly elliptical on;2024-10-04T03:22:40
10;neatly bah anenst;25841;priesthood astride;true;true;woefully chapel from;2024-10-03T12:58:34;upliftingly tabulate;2024-10-04T00:09:04
